country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guatemala,17.6,17.9,17.9,17.9,17.9,21.7,22.1,20.4,22,22,29.5,32.6,32.8,33.1,33.1,38.4,38.4,38.4,38.4,40.7,41.6,46.4,46,46,45,45,45,45,45,45.3,46.2,47.9,48.6,47.5,47.8,47.8,48.9,48.9,50.1,50.7,50.7,50.5,50.5,51.4,46.3,49.2,49.2
Guyana,41.4,41.4,41.4,41.7,41.7,41,41,41.2,41.2,42.7,43,42.7,44.5,42.7,42.9,44.7,42.9,42.5,42.2,39.2,39.2,41.8,43.5,51.6,51.6,50.1,52.6,52.6,56.3,57.4,55,55.8,58.2,59.2,56,57.2,55.9,58.7,58.7,58.7,55.9,59.6,59.6,59.6,60.5,59.6,61.8
Honduras,23.8,23.8,23.8,23.8,23.8,26.6,29.8,33.7,35.1,31.4,35.4,34.2,34.2,35.6,36.1,40,42.3,44.9,42.7,44.5,47.1,45.6,46,46.2,45.3,49.2,48.9,48.9,50.5,49,50.8,52.3,54.2,52.5,47.4,47.4,50.7,50.7,51.1,50.1,50.1,48.9,48.2,50,48.5,48.6,51.9
Croatia,,,,,,,,,,,,,,,,,48.7,52.4,54.7,52.9,53.3,53.3,59.3,59.3,57.7,67.9,69.8,70.2,68.2,68.3,67.7,68,69,69,71.3,72.9,72.9,73.2,73.2,73.2,71.1,73.3,68.8,70.1,68.3,73.9,73.9
Haiti,23.2,23.7,23.7,23.7,24.1,24.1,24.3,25.6,25.3,25,25,24,29.1,30.5,28.7,31.1,31.8,29.5,29.5,30.5,32,32,32,32,32,33.7,33.7,33.7,33.7,34.4,34.4,32.3,33.9,33.9,32.6,32.6,32.6,32.6,32.8,32.8,30.8,32.5,32.2,31.2,31.2,34.3,30.1
Hungary,61.1,61.1,61.5,61.5,61.5,61.5,60.7,61.7,62.8,62.8,62.2,62.2,62.2,62.2,64.8,74.6,75,76.6,75,76.6,76.6,75,74.1,74.1,72.1,74.1,76.9,77,74.2,74.1,74.1,72.3,74.3,72.3,74.3,69.7,70,70,73.6,73.7,73.7,74.1,72.2,68.4,67.4,71.2,71.4
Indonesia,28,28,28,28.3,28.3,28.3,29.7,30,30,30,31.5,31.5,34.2,35.6,35.6,34.2,34.4,34.4,34.4,34.4,34.4,34.4,34.7,42.6,49.1,49.6,49.8,50.2,50.2,50.7,49.7,48.3,49.9,49.9,49.3,50.7,51,51,48.5,48.7,47.3,48.3,49.1,49.1,51.4,52.6,53.8
India,43.5,43.5,43.3,43.3,43.3,45.7,46,46.4,46.4,47.2,47.2,47.2,47.2,47.2,46.4,46.2,49.2,49,49,50.3,50.5,50.2,50.2,50.5,50.5,52.4,52.1,52.1,52.1,52.1,52.1,52.1,52.4,52.1,52.6,50.2,52.1,52.1,50.8,50.3,49.3,50.2,50.2,50.4,44.5,47.5,48.8
Ireland,46,46,47.9,47.7,47.7,51.7,53.9,55.5,56.1,54.1,57.7,57.7,57.7,57.7,57.7,61.6,61.6,62.1,62.1,65.1,66,65.1,65.1,65.1,65.1,65.1,65.3,65.5,65.5,67.3,67.3,67.3,68.7,67.6,68.7,68.7,69.2,69.8,72.9,71.7,76.3,79.5,76,78.4,78.4,76.1,76.1
Iran,25.1,25.1,25.5,25.5,18.5,13.2,10.4,10.4,10.9,10.9,10.9,10.9,10.9,11.2,13.7,13.7,13.7,13.7,15.6,15.9,15.9,15.9,23.1,24.3,24.3,24,24,24.2,25.3,23.8,22.9,21.8,21.8,21.9,21.9,23.9,24,24,24.8,24.8,24.8,24.3,23.1,24.9,24.2,24.2,19.8
